2603	1825	36.70000076293945	-39.4862774075
2599	1821	36.70000076293945	-39.2602741439
2594	1815	37.0	-39.2911401182
2589	1810	37.400001525878906	-39.0843022458
2585	1806	38.0	-39.1761336281
2583	1803	38.5	-39.7972746698
2580	1800	39.29999923706055	-39.0507181455
2577	1797	40.099998474121094	-39.3012472183
2575	1795	40.900001525878906	-39.5233000169
2573	1793	41.70000076293945	-39.0471264444
2571	1791	42.599998474121094	-39.7138791391
2570	1790	43.5	-39.11811593
2570	1789	44.599998474121094	-39.5016371229
2570	1787	45.599998474121094	-39.9309215602
2568	1784	46.70000076293945	-39.4759397758
2566	1779	47.70000076293945	-39.2835022446
2563	1772	49.0	-39.1864533556
2559	1765	50.099998474121094	-38.9117704984
2555	1756	51.29999923706055	-38.9707408978
2550	1746	52.29999923706055	-39.6448158668
2545	1736	53.20000076293945	-39.3593879946
2541	1727	54.20000076293945	-39.2107833974
2536	1716	55.099998474121094	-39.5350210729
2531	1705	56.0	-39.5802942234
2526	1695	57.20000076293945	-39.0347382424
2520	1684	58.20000076293945	-39.3046198559
2515	1673	59.20000076293945	-39.4642439886
2509	1662	60.20000076293945	-39.5628316596
2503	1650	61.20000076293945	-39.3958261619
2497	1639	62.20000076293945	-39.6973175477
2492	1628	63.099998474121094	-44.3402667484
2485	1617	63.900001525878906	-47.3967820128
2478	1608	64.69999694824219	-51.7728101717
2470	1599	65.30000305175781	-51.6221781955
2461	1592	66.0999984741211	-51.5192224643
2450	1585	66.80000305175781	-51.9194901496
2440	1579	67.80000305175781	-51.5024180377
2429	1573	69.0	-51.4546348056
2419	1567	70.0999984741211	-51.825293801
2407	1560	71.30000305175781	-51.5632164179
2396	1553	72.69999694824219	-51.5793625082
2385	1545	73.9000015258789	-51.7971250352
2373	1537	75.0	-51.5746823269
2362	1528	76.0999984741211	-51.2364822547
2351	1518	77.0999984741211	-52.2544482935
2340	1509	78.19999694824219	-52.4810685409
2328	1499	79.0999984741211	-52.7346685144
2316	1489	80.30000305175781	-52.4130258946
2303	1480	81.5999984741211	-52.5663792678
2291	1470	82.69999694824219	-52.6601357405
2279	1461	83.80000305175781	-52.429756467
2266	1451	85.0999984741211	-52.3331942922
2254	1442	86.30000305175781	-52.4986353051
2242	1433	87.5999984741211	-54.2202308009
2229	1425	88.80000305175781	-56.4773985406
2216	1416	90.0	-60.1379964732
2203	1409	91.30000305175781	-64.1768548229
2189	1401	92.5999984741211	-67.5549895461
2175	1393	93.9000015258789	-70.9434292332
2159	1387	95.19999694824219	-73.4717203216
2143	1381	96.4000015258789	-76.7420919756
2126	1375	97.69999694824219	-79.6255445694
2109	1371	99.0	-82.9860528427
2090	1368	100.30000305175781	-83.0433632547
2072	1365	101.69999694824219	-82.6913550392
2051	1362	102.9000015258789	-83.3386442696
2031	1361	104.0	-83.556066148
2007	1358	105.30000305175781	-82.3935007532
