2757	2509	71	92.32
2754	2521	71.4000015259	87.96
2751	2532	71.6999969482	82.6
2749	2544	72.0999984741	77.43
2748	2556	72.5	70.67
2748	2568	73.1999969482	65.04
2750	2580	73.8000030518	58.74
2753	2592	74.4000015259	53.03
2756	2603	75.1999969482	46.99
2761	2614	75.8000030518	46.81
2767	2625	76.4000015259	46.66
2773	2635	77.1999969482	47.03
2781	2645	78.1999969482	47.08
2791	2657	79.0999984741	47.49
2800	2667	80.0999984741	46.73
2810	2677	81.1999969482	46.43
2821	2688	82.3000030518	46.82
2832	2698	83.4000015259	46.9
2842	2708	84.5	45.58
2854	2719	85.5	47.51
2865	2730	86.5999984741	46.78
2876	2741	87.6999969482	46.62
2887	2753	88.5999984741	46.65
2899	2768	89.6999969482	47
2911	2782	90.8000030518	46.93
2923	2797	92	46.76
2935	2813	93.0999984741	46.8
2948	2829	94.3000030518	46.41
2960	2846	95.3000030518	46.81
2973	2863	96.5999984741	46.72
2986	2880	97.6999969482	47.38
2999	2897	98.5999984741	47.98
3014	2915	99.5	56.66
3027	2932	100.3000030518	60.81
3040	2951	101	66.21
3051	2969	101.8000030518	69.43
3062	2989	102.6999969482	73.81
3071	3009	103.5	77.01
3080	3030	104.5	80.4
3086	3051	105.1999969482	82.97
3091	3075	106	85.76
3094	3098	106.6999969482	90.4
3093	3115	107.6999969482	93.37
3091	3128	108.5	96.97
3087	3138	109.5	104.34
3081	3145	110	106.2
3075	3151	110.9000015259	106.84
3068	3158	112.1999969482	109.36
3061	3166	113.0999984741	111.43
3054	3176	113.5999984741	115.75
3045	3185	114.4000015259	118.22
3037	3195	115.5	120.9
3029	3206	116.3000030518	125.16
3019	3216	117.1999969482	129.79
3007	3225	118.0999984741	132.06
2996	3234	119	135.35
2983	3243	120.0999984741	139.2
2970	3252	121	142.52
2955	3260	121.9000015259	146.38
2938	3266	122.8000030518	148.69
2921	3273	123.9000015259	150.97
2902	3278	125.0999984741	155.44
2882	3282	126.0999984741	157.54
2863	3285	127.0999984741	158.23
2844	3289	128	154.25
2825	3293	129.1999969482	153.47
2806	3297	130.5	162.94
2786	3301	131.6000061035	170.37
2765	3301	132.5	173.72
2745	3300	133.6000061035	178.63
2724	3295	134.5	-177.91
2703	3290	135.3000030518	-177.93
2683	3284	136	-178.06
2662	3276	136.8000030518	-178.56
2641	3270	137.3000030518	-178.05
2622	3265	138.1000061035	-175.59
2603	3260	138.5	-162.27
2587	3254	138.8000030518	-158.42
2570	3247	138.8999938965	-158.71
2556	3238	139	-158.29
2542	3230	139.1999969482	-158.85
2528	3221	139.1999969482	-158.92
2514	3212	139.3999938965	-157.86
