-1.83	-0.89	-141.46
-2.15	-1	-142.65
-1.84	-1.37	-141.31
-2	-1.92	-141.92
-1.79	-1.51	-141.61
-1.93	-1.92	-142.01
-2.02	-2.4	-141.88
-1.59	-2.09	-141.71
-1.62	-1.99	-141.54
-2.33	1.95	-142.09
-2.23	2.09	-141.48
-2.35	1.53	-141.66
-2.81	1.39	-141.16
-2.56	0.16	-142.67
-2.42	0.31	-141.96
-2.52	-0.58	-144.04
-2.74	-0.36	-146.77
-2.57	-0.6	-148.25
-2.74	-1.08	-150.69
-2.63	-0.8	-152.43
-2.36	-0.68	-155.31
-2.96	-0.73	-159.62
-3.22	-0.63	-163.97
-3.67	-1.09	-167.62
-3.75	-1.2	-172.17
-3.8	-1.34	-176.19
-4.38	-2.01	178.66
-4.83	-1.82	172.38
-4.93	-3.17	167.52
-5.33	-3.42	161.26
-5.65	-3.73	154.53
-5.55	-3.85	148.98
-5.33	-4.34	144.04
-5.88	-5.36	136.89
-5.2	-5.39	133.12
-4.46	-5.2	133.37
-4.11	-5.23	128.9
-3.75	-5.34	125.43
-3.34	-5.16	121.69
-3.32	-4.89	119.39
-2.61	-5	117.69
-2.75	-5.54	113.43
-2.75	-4.8	111.22
-2.67	-5.27	108.23
-2.85	-5.33	104.23
-2.79	-5.81	100.51
-2.7	-6.12	97.73
-3.09	-6.36	95.02
-2.94	-6.39	91.86
-3.03	-6.08	87.96
-2.6	-7.35	86.08
-2.55	-11.27	84.27
-2.15	-11.87	79.49
-1.9	-12.26	76.52
-2.1	-12.65	72.64
-1.68	-12.87	68.68
-1.34	-13.28	65
-1.49	-13.35	62.47
-1.49	-13.37	60.62
-0.66	-12.05	58.44
-1.13	-10.48	56.14
-0.47	-13.08	44.72
-0.07	-12.48	40.42
-0.43	-12.67	29.83
0.16	-12.41	22.66
-0.89	-11.25	13.03
0.6	-12.88	11.05
0.53	-12.19	11.24
0.18	-11.94	10.97
0.86	-11.81	10.82
0.56	-11.6	10.47
1.2	-8.6	11
3.43	-1.91	11.35
3.96	0.43	10.92
3.34	-1.02	10.8
2.23	-2.48	10.63
2.39	-2.9	10.6
2.09	-3.42	10.82
2.14	-4.25	11.03
1.7	-5.3	11.01
1.69	-5.07	10.96
1.55	-5.01	10.94
1.97	-5.49	11.12
1.54	-5.58	10.8
1.62	-5.32	10.98
1.41	-5.55	11.02
1.27	-5.52	10.75
1.07	-5.39	8.71
0.49	-5.19	2.97
0.52	-5.24	-1.47
0.57	-4.97	-4.61
-0.04	-4.43	-6.52
0.28	-4.33	-7.89
0.19	-5.92	-9.66
-1.01	-5.2	-15.75
-0.21	-5.02	-17.04
0.04	-4.57	-15.34
0.09	-4.69	-18.04
-0.79	-8.96	-27.63
-0.49	-8.6	-34.83
0.58	-8.1	-36.96
0.68	-7.74	-40.94
0.54	-7.19	-45.58
-0.28	-4.7	-49.31
-0.87	-4.26	-52.64
-0.9	-3.89	-59.43
-0.09	-3.67	-71.03
-0.39	-3.8	-80.92
-1.02	1.4	-87.44
-0.74	2.78	-89.25
-3.6	9.07	-88.62
-1.77	3.66	-89.79
-2.17	4.33	-95.55
-1.96	2.68	-101.94
-1.2	0.3	-101.87
-0.97	-0.86	-103.11
-1.7	-2.03	-106.35
-1.59	-0.25	-107.38
-2.12	0.24	-111.33
-2.56	1.53	-115.2
-2.51	0.27	-120.16
-3.43	0.72	-121.58
-3.23	0.05	-123.35
-3.38	-0.35	-128.44
-3.71	2.34	-135.12
-3.77	3.98	-139.52
-4.1	5.87	-139.69
-2.37	-1.2	-139.01
-1.91	-1.12	-139.28
-4.27	2.96	-139.8
-3.92	-0.81	-140.78
-3.75	-1.44	-140.25
-2.91	-1.35	-140.88
-2.52	-0.55	-140.58
-2.47	0.27	-140.24
-2.35	0.65	-140.67
-2.99	1.16	-140.47
-2.77	0.16	-140.23
-3.17	1.55	-139.92
-2.67	1.15	-139.34
-2	0.67	-137.76
-0.81	0.53	-130.32
-0.4	-0.06	-129.1
-0.13	-0.47	-126.3
0.56	-0.69	-121.91
0.58	-0.15	-116.73
0.52	-0.39	-115.59
0.12	-0.12	-114.71
-0.22	-0.26	-115.52
-0.92	0.28	-115.61
-1.29	0.9	-115.42
-1.49	0.66	-115.93
-1.97	0.39	-117.68
-2.01	0.15	-120.97
-1.84	0.06	-122.19
-2.26	-0.11	-122.8
-2	-0.11	-123.32
-2.26	0.13	-126.79
-3.29	-0.54	-132.25
-2.59	-0.56	-132.54
-2.46	-0.98	-137.05
-4.01	-0.99	-144.39
-3.35	-1.51	-143.89
-3.62	-0.98	-147.49
-4.45	-1.15	-153.19
-3.5	-1.53	-154.81
-3.2	-1.27	-155.06
-3.11	-0.51	-155.58
-5.65	1.38	-160.53
-4.42	-3.29	-171.18
-3.16	-4.16	-168.52
-1.11	-3.12	-175.47
-1.42	-2.16	-161.79
-2.7	-1.31	-168.53
-4.19	-1.66	-175.76
-4.71	-2.41	174.75
-4.83	-5.24	171.08
-5.29	-5.78	161.06
-4.06	-8.75	147.03
-4.51	-8.49	145.72
-5.24	-8.09	137.93
-4.83	-8.65	137.47
-3.57	-8.95	130.1
-4.9	-9.57	127.89
-5.05	-7.64	123.23
-4.56	-7.52	116.54
-4.02	-6.23	107.67
-4.33	-5.33	103.86
-4.05	-6	91.41
-3.54	-4.97	82.86
-2.82	-4.15	72.89
-2.38	-4.39	61.12
-1.01	-5.25	49.06
0.45	-4.88	32.3
0.9	-5.23	22.28
0.99	-6.83	20.73
