3316	2539	103.3000030518	38.542
3328	2550	103.3000030518	37.346
3341	2562	103.1999969482	38.687
3354	2573	103.1999969482	38.082
3367	2585	103.3000030518	38.389
3381	2598	103.3000030518	37.995
3395	2610	103.1999969482	38.115
3410	2624	103.1999969482	38.289
3426	2638	103.1999969482	38.456
3443	2655	103.1999969482	37.908
3457	2668	103.1999969482	38.518
3467	2679	103.1999969482	38.344
3474	2687	103.1999969482	38.838
3479	2693	103.3000030518	37.327
3483	2698	103.3000030518	38.039
3487	2702	103.3000030518	35.958
3492	2705	103.4000015259	33.233
3497	2709	103.4000015259	31.75
3503	2712	103.4000015259	29.311
3511	2716	103.3000030518	27.568
3520	2721	103.3000030518	24.689
3530	2726	103.3000030518	20.378
3542	2730	103.3000030518	16.034
3555	2735	103.3000030518	12.381
3570	2739	103.3000030518	7.8287
3586	2742	103.1999969482	3.8072
3603	2744	103.1999969482	-1.3362
3621	2745	103.1999969482	-7.6164
3640	2743	103.4000015259	-12.4813
3660	2739	103.5999984741	-18.7399
3681	2733	103.5	-25.4727
3701	2723	103.0999984741	-31.0245
3721	2711	102.6999969482	-35.9638
3739	2696	102.3000030518	-43.1106
3756	2678	101.9000015259	-46.8814
3771	2659	101.5	-46.6343
3785	2638	101.1999969482	-51.1022
3798	2617	100.8000030518	-54.5738
3810	2597	100.5	-58.31
3821	2576	100.1999969482	-60.6078
3830	2555	99.9000015259	-62.3105
3839	2535	99.4000015259	-66.5727
3847	2515	99	-68.7811
3854	2495	98.5	-71.7656
3861	2474	98.0999984741	-75.7653
3866	2454	97.6999969482	-79.4921
3871	2434	97.5999984741	-82.26816
3874	2413	97.4000015259	-84.97903
3876	2393	97.0999984741	-88.14228
3877	2372	96.6999969482	-92.03855
3876	2351	96.1999969482	-93.92048
3874	2333	95.8000030518	-95.73481
3871	2310	95.3000030518	-100.5079
3866	2281	95.0999984741	-103.4771
3859	2249	94.6999969482	-107.3592
3850	2212	94.5	-111.3184
3838	2174	94.0999984741	-114.9959
3824	2132	93.8000030518	-117.5261
3806	2087	93.5	-119.3801
3786	2043	93.1999969482	-121.5601
3765	1999	92.8000030518	-123.8579
3741	1956	92.1999969482	-135.2792
3716	1917	92	-139.5804
3689	1879	91.9000015259	-150.1667
3658	1847	91.8000030518	-157.3428
3623	1818	91.5999984741	-166.9663
3584	1796	91.3000030518	-168.9483
3545	1782	91.1999969482	-168.7629
3502	1770	91.0999984741	-169.0282
3456	1763	91.0999984741	-169.1753
3410	1759	91.1999969482	-169.5319
3358	1755	91.1999969482	-168.9993
3303	1753	91	-168.6509
3260	1750	90.5	-169.0798
3227	1746	90.1999969482	-169.2027
3202	1740	89.9000015259	-169.375
3182	1734	89.3000030518	-169.3955
3164	1729	88.6999969482	-169.1819
3148	1724	88	-168.9687
3133	1719	87.3000030518	-168.9868
3118	1714	86.5999984741	-169.0433
3102	1709	86.4000015259	-169.0637
3086	1704	86.5999984741	-168.882
3070	1698	86.5	-169.2014
3053	1693	86	-169.0214
3035	1687	85.3000030518	-168.9807
3017	1682	84.3000030518	-169.2548
2999	1676	83.3000030518	-171.287
2980	1670	82.3000030518	-177.0333
2961	1667	81.4000015259	178.533
2942	1665	80.5999984741	175.3861
2923	1664	79.9000015259	173.4778
2903	1664	79.5999984741	172.1064
2884	1664	79.5999984741	170.3372
2863	1666	79.5	164.248
2841	1670	79.5999984741	162.962
2818	1674	79.5999984741	164.656
2795	1679	79.6999969482	161.961
2775	1684	79.6999969482	152.374
2749	1693	79.6999969482	145.172
2721	1706	79.5999984741	143.045
2691	1724	79.5999984741	139.057
2662	1745	79.5999984741	134.422
2631	1769	79.5	130.688
2603	1793	79.5	127.359
2577	1818	79.4000015259	120.57
2553	1845	79.4000015259	108.968
2533	1872	79.4000015259	99.08
2518	1900	79.4000015259	92.564
2506	1924	79.5	90.746
2496	1943	79.5	91.376
2492	1950	79.5	90.212
2491	1952	79.5	84.448
2491	1953	79.5	78.057
2493	1954	79.5	78.127
2496	1957	79.5	76.886
2499	1963	79.5999984741	73.646
2502	1973	79.5999984741	72.618
2505	1983	79.6999969482	68.674
2508	1994	79.5999984741	64.803
2512	2003	79.4000015259	59.84
2515	2013	79.5	58.424
2519	2021	79.5999984741	56.646
2524	2030	79.5999984741	51.556
2529	2039	79.5999984741	44.881
2533	2045	79.5999984741	40.483
2535	2048	79.3000030518	40.311
2535	2048	79.6999969482	40.987
2536	2051	79.8000030518	40.723
2539	2055	79.5999984741	40.205
2544	2059	79.5	39.219
2550	2064	79.5999984741	39.747
2559	2072	79.6999969482	39.122
2569	2080	79.6999969482	39.42
2581	2091	79.5999984741	39.761
2592	2103	79.5	39.327
2603	2115	79.5	39.528
2615	2128	79.5	39.773
2626	2139	79.5	40.075
2637	2150	79.5	40.66
2647	2161	79.5999984741	42.236
2657	2171	79.6999969482	49.68
2667	2182	79.6999969482	50.896
2675	2195	79.6999969482	53.697
2684	2211	79.5999984741	58.087
2691	2228	79.5999984741	63.265
2696	2246	79.5999984741	64.407
2700	2266	79.6999969482	65.288
2704	2285	79.6999969482	64.475
2707	2305	79.5	64.391
2711	2324	79.4000015259	64.583
2715	2343	79.3000030518	64.075
2720	2360	79.1999969482	62.32
2726	2376	79.0999984741	59.026
2733	2392	79	57.813
2740	2407	78.8000030518	57.2
2749	2422	78.0999984741	56.684
2757	2436	77.3000030518	53.21
2766	2450	76.6999969482	47.748
2776	2462	75.8000030518	47.46
2786	2473	74.9000015259	42.953
2797	2483	73.6999969482	35.615
2809	2493	72.8000030518	36.113
